src_ip,dst_ip,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,orig_p,resp_p,proto,service,conn_state
192.168.1.64,10.0.0.10,0.0151651929579244,1374.957674318694,58.02901618145686,69,1,1169,53,tcp,dns,REJ
192.168.1.73,118.110.203.22,0.7640776609193886,492.97628959942426,5050.901081026841,20,1,32846,23,udp,dhcp,RSTR
192.168.1.42,10.0.0.15,0.0019282202863855,1184.1898509929802,58.06593247913687,71,1,64063,443,tcp,http,RSTR
192.168.1.220,10.0.0.10,0.0157694175033171,1320.926611096874,35.60435946623816,24,4,43751,22,icmp,dhcp,SF
192.168.1.208,11.31.145.100,1.0040339574543695,348.0269875417764,23966.30686208747,4,5,46041,80,icmp,dns,SF
192.168.1.143,75.13.187.66,8.64675684769068,60.75684351755361,106.18498903225856,6,2,4075,23,tcp,ssl,S0
192.168.1.242,34.96.231.16,0.5270307930813688,144.0903936394168,0.0,1,0,19824,22,icmp,dhcp,S0
192.168.1.233,10.0.0.20,0.0016687078846063,1246.328853011811,33.452717235900025,45,1,25543,23,udp,dhcp,RSTR
192.168.1.249,197.248.188.23,1.7489835021813425,1541.6201940136682,1824.977076501817,2,11,16620,8080,tcp,http,RSTR
192.168.1.238,163.215.6.41,7.075140281354252,38.44689917509876,78.47377306835583,2,1,54956,22,tcp,-,RSTR
192.168.1.238,135.197.66.31,0.0748470879067642,1835.8683301180404,17877.048168059548,9,3,63507,443,udp,http,S0
192.168.1.123,203.50.62.54,2.167450857548966,312.5899446812486,4126.411184691942,3,7,24987,53,icmp,http,RSTR
192.168.1.22,4.246.77.135,0.1235769062737109,183.89023523396995,0.0,2,0,9826,23,icmp,-,S0
192.168.1.240,221.86.204.149,0.1879094541871823,136.55443455624803,0.0,1,0,16441,443,icmp,dns,S0
192.168.1.58,114.255.93.43,0.0139528183633012,77.07846680851773,5005.421559292037,5,10,63147,2323,tcp,http,REJ
192.168.1.244,20.41.108.8,29.257643808284897,19.3900444054764,34.882528910611626,1,3,11420,53,udp,dhcp,S0
192.168.1.180,10.0.0.10,0.0117421252756771,1262.0548215961735,48.39062623136937,10,2,40408,443,icmp,ssl,SF
192.168.1.213,187.36.136.164,8.093406719431021,426.1788395019812,123.11442033895972,2,1,54376,8080,tcp,ssl,S0
192.168.1.43,10.0.0.10,0.0024955526889052,1221.3903868201485,48.1058632901845,50,4,57599,53,icmp,dns,REJ
192.168.1.39,6.64.190.16,2.2671146164361526,139.67265208170963,7104.698112780275,30,9,31995,53,udp,-,RSTO
192.168.1.247,86.43.15.122,0.0795697846138931,170.9869478464173,0.0,1,0,29667,80,tcp,dns,S0
192.168.1.128,10.0.0.10,0.0029573512051435,1349.6044311489184,56.4335393105407,77,4,39751,2323,udp,dns,SF
192.168.1.82,239.72.232.214,23.983237950314763,353.4870825310838,101.68846746328128,3,1,38420,53,tcp,ssl,RSTO
192.168.1.5,248.16.35.132,0.1335977312524226,970.3463769147012,1551.9463055696003,17,4,23444,23,tcp,-,S0
192.168.1.126,123.58.78.63,6.686259595713725,17.084208174389396,1111.412766370365,3,2,58775,53,tcp,ssh,RSTR
192.168.1.167,15.132.79.240,0.010167448370236,114.07942027033847,0.0,1,0,60470,23,icmp,http,S0
192.168.1.214,206.136.203.46,3.540976526547985,134.99619953122334,179.6659095132252,3,1,14011,22,udp,dhcp,RSTR
192.168.1.202,10.131.129.191,1.5399768841088115,167.58778387889586,57.52302168887414,4,2,7689,443,tcp,ssh,SH
192.168.1.64,118.247.34.86,0.0719881153314074,99.01153888830603,0.0,4,0,16179,53,udp,dhcp,S0
192.168.1.74,10.0.0.15,0.0062882507764758,1201.878030431645,56.53711880256194,61,1,59978,80,tcp,http,RSTO
192.168.1.69,237.48.73.208,3.0859285392605713,193.6201944956324,242.4935110925409,4,3,64714,8080,tcp,-,SH
192.168.1.222,63.167.241.5,0.0505807431106599,193.1148632641358,0.0,3,0,25861,53,tcp,ssh,S0
192.168.1.189,254.212.5.126,0.744821727613934,2343.0552050387564,7156.880220193357,35,32,3183,22,udp,dns,REJ
192.168.1.112,242.233.112.46,0.0864663535204035,129.3495219294492,0.0,2,0,37308,22,udp,ssl,S0
